Question,Context
Despicable Me,So the makers of Despicable Me were wise to cut to the chase and make the megalomaniacal Gru  voiced by Carell  the central character in this animated film 
Carell,So the makers of Despicable Me were wise to cut to the chase and make the megalomaniacal Gru  voiced by Carell  the central character in this animated film 
Despicable Me,The world of Despicable Me is reminiscent of The Incredibles  where superheroes and supervillains participate in everyday life  raising their kids and keeping up their suburban homes just like ordinary mortals 
Incredibles,The world of Despicable Me is reminiscent of The Incredibles  where superheroes and supervillains participate in everyday life  raising their kids and keeping up their suburban homes just like ordinary mortals 
Gru,Gru drives his ecological nightmare of a vehicle to get a cup of coffee  vanquishes the people ahead of him in line  and then returns with his latte to his creepy blackhued house that sits among a row of otherwise identical houses 
Great Pyramid,The supervillains in this community are all trying to best one another  Snotty newkidontheblock Vector  Segel  kicks things off in spectacular style by seizing the Great Pyramid of Giza and replacing it with an inflatable replica 
Giza,The supervillains in this community are all trying to best one another  Snotty newkidontheblock Vector  Segel  kicks things off in spectacular style by seizing the Great Pyramid of Giza and replacing it with an inflatable replica 
Gru,Gru has some monuments to his name  but the Eiffel Tower and Statue of Liberty once in his possession were stolen from Vegas rather than their natural habitats 
Eiffel Tower,Gru has some monuments to his name  but the Eiffel Tower and Statue of Liberty once in his possession were stolen from Vegas rather than their natural habitats 
Statue,Gru has some monuments to his name  but the Eiffel Tower and Statue of Liberty once in his possession were stolen from Vegas rather than their natural habitats 
Liberty,Gru has some monuments to his name  but the Eiffel Tower and Statue of Liberty once in his possession were stolen from Vegas rather than their natural habitats 
Vegas,Gru has some monuments to his name  but the Eiffel Tower and Statue of Liberty once in his possession were stolen from Vegas rather than their natural habitats 
Part,Part of his plan involves the adoption of three orphaned sisters  Margo  Cosgrove   Edith  Gaier   and Agnes  Fisher  
Cosgrove,Part of his plan involves the adoption of three orphaned sisters  Margo  Cosgrove   Edith  Gaier   and Agnes  Fisher  
Edith,Part of his plan involves the adoption of three orphaned sisters  Margo  Cosgrove   Edith  Gaier   and Agnes  Fisher  
Agnes,Part of his plan involves the adoption of three orphaned sisters  Margo  Cosgrove   Edith  Gaier   and Agnes  Fisher  
Gru,Through their demands for him to accompany them to ballet lessons and read bedtime stories as well as some flashbacks that reveal him to be a villain with justifiable mommy issues  as the voice of Gru s belittling mother  Andrews plays deliciously against type  Gru discovers his sensitive side 
Andrews,Through their demands for him to accompany them to ballet lessons and read bedtime stories as well as some flashbacks that reveal him to be a villain with justifiable mommy issues  as the voice of Gru s belittling mother  Andrews plays deliciously against type  Gru discovers his sensitive side 
Gru,Through their demands for him to accompany them to ballet lessons and read bedtime stories as well as some flashbacks that reveal him to be a villain with justifiable mommy issues  as the voice of Gru s belittling mother  Andrews plays deliciously against type  Gru discovers his sensitive side 
Minions,Assemble the Minions  Gru is wont to say when cooking up a new plot  and that s a good thing  because his Minions are likely to become the real stars of this movie 
Yellow,Yellow  capletshaped  bespectacled beings swarm in excited enthusiasm  gurgling in some sort of fractionally understandable language that seems fitting  given the indeterminate RussianHungarian goulash of Gru s accent 
Gru,Yellow  capletshaped  bespectacled beings swarm in excited enthusiasm  gurgling in some sort of fractionally understandable language that seems fitting  given the indeterminate RussianHungarian goulash of Gru s accent 
Gru,There is also Gru s hardofhearing inventor  Brand   who is like the Q to Gru s Bond and creates a fart gun when a dart gun is requested 
Brand,There is also Gru s hardofhearing inventor  Brand   who is like the Q to Gru s Bond and creates a fart gun when a dart gun is requested 
Gru,There is also Gru s hardofhearing inventor  Brand   who is like the Q to Gru s Bond and creates a fart gun when a dart gun is requested 
Bond,There is also Gru s hardofhearing inventor  Brand   who is like the Q to Gru s Bond and creates a fart gun when a dart gun is requested 
Carell,Carell s vocal delivery is entertaining  Beneath the character s amusing accent  we can hear intimations of both an archcriminal and a petulant child 
Chris Meledandri,Produced by Chris Meledandri  Horton Hears a Who   Ice Age  The Meltdown   the CGI work was done by French special effects house Mac Guff Ligne 
Horton,Produced by Chris Meledandri  Horton Hears a Who   Ice Age  The Meltdown   the CGI work was done by French special effects house Mac Guff Ligne 
Ice,Produced by Chris Meledandri  Horton Hears a Who   Ice Age  The Meltdown   the CGI work was done by French special effects house Mac Guff Ligne 
Meltdown,Produced by Chris Meledandri  Horton Hears a Who   Ice Age  The Meltdown   the CGI work was done by French special effects house Mac Guff Ligne 
CGI,Produced by Chris Meledandri  Horton Hears a Who   Ice Age  The Meltdown   the CGI work was done by French special effects house Mac Guff Ligne 
French,Produced by Chris Meledandri  Horton Hears a Who   Ice Age  The Meltdown   the CGI work was done by French special effects house Mac Guff Ligne 
Mac Guff Ligne,Produced by Chris Meledandri  Horton Hears a Who   Ice Age  The Meltdown   the CGI work was done by French special effects house Mac Guff Ligne 
Pixar,Pixar  of course  remains the gold standard for animated family films  but the Spy vs Spystyle antics of Despicable Me and those lovable Minions probably guarantee that Despicable Me will produce some progeny 
Spy,Pixar  of course  remains the gold standard for animated family films  but the Spy vs Spystyle antics of Despicable Me and those lovable Minions probably guarantee that Despicable Me will produce some progeny 
Despicable Me,Pixar  of course  remains the gold standard for animated family films  but the Spy vs Spystyle antics of Despicable Me and those lovable Minions probably guarantee that Despicable Me will produce some progeny 
Despicable Me,Pixar  of course  remains the gold standard for animated family films  but the Spy vs Spystyle antics of Despicable Me and those lovable Minions probably guarantee that Despicable Me will produce some progeny 
Austin Chronicle,A note to readers  Bold and uncensored  The Austin Chronicle has been Austin s independent news source for over 40 years  expressing the community s political and environmental concerns and supporting its active cultural scene 
Austin,A note to readers  Bold and uncensored  The Austin Chronicle has been Austin s independent news source for over 40 years  expressing the community s political and environmental concerns and supporting its active cultural scene 
Austin,Now more than ever  we need your support to continue supplying Austin with independent  free press 
Chronicle Despicable Me,Support the Chronicle Despicable Me  Chris Renaud  Pierre Coffin Information is power 
Chris Renaud,Support the Chronicle Despicable Me  Chris Renaud  Pierre Coffin Information is power 
Pierre Coffin,Support the Chronicle Despicable Me  Chris Renaud  Pierre Coffin Information is power 
Austin,Support the free press  so we can support Austin 
Chronicle Information,Support the Chronicle Information is power 
Austin,Support the free press  so we can support Austin 
Chronicle,Support the Chronicle
Despicable Me,So the makers of Despicable Me were wise to cut to the chase and make the megalomaniacal Gru  voiced by Carell  the central character in this animated film 
Carell,So the makers of Despicable Me were wise to cut to the chase and make the megalomaniacal Gru  voiced by Carell  the central character in this animated film 
Despicable Me,The world of Despicable Me is reminiscent of The Incredibles  where superheroes and supervillains participate in everyday life  raising their kids and keeping up their suburban homes just like ordinary mortals 
Incredibles,The world of Despicable Me is reminiscent of The Incredibles  where superheroes and supervillains participate in everyday life  raising their kids and keeping up their suburban homes just like ordinary mortals 
Gru,Gru drives his ecological nightmare of a vehicle to get a cup of coffee  vanquishes the people ahead of him in line  and then returns with his latte to his creepy blackhued house that sits among a row of otherwise identical houses 
Great Pyramid,The supervillains in this community are all trying to best one another  Snotty newkidontheblock Vector  Segel  kicks things off in spectacular style by seizing the Great Pyramid of Giza and replacing it with an inflatable replica 
Giza,The supervillains in this community are all trying to best one another  Snotty newkidontheblock Vector  Segel  kicks things off in spectacular style by seizing the Great Pyramid of Giza and replacing it with an inflatable replica 
Gru,Gru has some monuments to his name  but the Eiffel Tower and Statue of Liberty once in his possession were stolen from Vegas rather than their natural habitats 
Eiffel Tower,Gru has some monuments to his name  but the Eiffel Tower and Statue of Liberty once in his possession were stolen from Vegas rather than their natural habitats 
Statue,Gru has some monuments to his name  but the Eiffel Tower and Statue of Liberty once in his possession were stolen from Vegas rather than their natural habitats 
Liberty,Gru has some monuments to his name  but the Eiffel Tower and Statue of Liberty once in his possession were stolen from Vegas rather than their natural habitats 
Vegas,Gru has some monuments to his name  but the Eiffel Tower and Statue of Liberty once in his possession were stolen from Vegas rather than their natural habitats 
Part,Part of his plan involves the adoption of three orphaned sisters  Margo  Cosgrove   Edith  Gaier   and Agnes  Fisher  
Cosgrove,Part of his plan involves the adoption of three orphaned sisters  Margo  Cosgrove   Edith  Gaier   and Agnes  Fisher  
Edith,Part of his plan involves the adoption of three orphaned sisters  Margo  Cosgrove   Edith  Gaier   and Agnes  Fisher  
Agnes,Part of his plan involves the adoption of three orphaned sisters  Margo  Cosgrove   Edith  Gaier   and Agnes  Fisher  
Gru,Through their demands for him to accompany them to ballet lessons and read bedtime stories as well as some flashbacks that reveal him to be a villain with justifiable mommy issues  as the voice of Gru s belittling mother  Andrews plays deliciously against type  Gru discovers his sensitive side 
Andrews,Through their demands for him to accompany them to ballet lessons and read bedtime stories as well as some flashbacks that reveal him to be a villain with justifiable mommy issues  as the voice of Gru s belittling mother  Andrews plays deliciously against type  Gru discovers his sensitive side 
Gru,Through their demands for him to accompany them to ballet lessons and read bedtime stories as well as some flashbacks that reveal him to be a villain with justifiable mommy issues  as the voice of Gru s belittling mother  Andrews plays deliciously against type  Gru discovers his sensitive side 
Minions,Assemble the Minions  Gru is wont to say when cooking up a new plot  and that s a good thing  because his Minions are likely to become the real stars of this movie 
