What is Despicable Me,Despicable Me is an animated film in which the central character is a megalomaniacal Gru voiced by Carell.
What is Carell,Carell is an actor who voices the character of Gru in the animated film Despicable Me.
What is Despicable Me,"Despicable Me is a movie about a group of super villains who try to take over the world. However, they are constantly thwarted by a group of superheroes called the Incredibles. The world of Despicable Me is reminiscent of The Incredibles where superheroes and supervillains participate in everyday life raising their kids and keeping up their suburban homes just like ordinary mortals."
What is The Incredibles,"The Incredibles is a movie about superheroes and supervillains who participate in everyday life, raising their kids and keeping up their suburban homes just like ordinary mortals."
What is Gru,Gru is a character in the movie Despicable Me. He is a villain who drives an ecological nightmare of a vehicle and lives in a creepy blackhued house.
What is the Great Pyramid of Giza,The Great Pyramid of Giza is a large pyramid built by the ancient Egyptians. It is one of the Seven Wonders of the Ancient World.
What is Giza,"Giza is the location of the Great Pyramid of Giza, one of the Seven Wonders of the Ancient World."
What is Gru,"Gru is a former supervillain and the main character in the Despicable Me franchise. He has some monuments to his name, but the Eiffel Tower and Statue of Liberty once in his possession were stolen from Vegas rather than their natural habitats."
What is the Eiffel Tower,"The Eiffel Tower is a monument in Paris, France. It was once in the possession of Gru, but was stolen from Vegas rather than its natural habitat."
What is the Statue of Liberty,The Statue of Liberty is a monument that was once in the possession of Gru.
What is Liberty,Liberty is a monument in the United States of America.
What is Vegas,Vegas is a city in the United States known for its gambling and entertainment industry.
What is Part,"Part of his plan involves the adoption of three orphaned sisters Margo Cosgrove, Edith Gaier, and Agnes Fisher."
What is Cosgrove's plan,"Part of Cosgrove's plan involves the adoption of three orphaned sisters: Margo, Edith, and Agnes."
What is Edith,Edith is one of three orphaned sisters who are being adopted by the protagonist.
What is Agnes,Agnes is an orphan who is adopted by the protagonist as part of his plan.
What is Gru,Gru is a villain with justifiable mommy issues who discovers his sensitive side.
What is Andrews,Andrews is the voice of Gru's belittling mother.
What is Gru,Gru is a villain with justifiable mommy issues who discovers his sensitive side.
What is Minions,"Minions are the small, yellow, cylindrical creatures that serve as the loyal henchmen of the villain Gru in the Despicable Me franchise. In the new movie, Minions, Gru is retired from a life of villainy, but his Minions are still by his side, and they end up going on a new adventure. The Minions are likely to be the stars of the movie, due to their popularity."
What are Yellow,"Yellow are capletshaped, bespectacled beings that swarm in excited enthusiasm, gurgling in some sort of fractionally understandable language that seems fitting given the indeterminate RussianHungarian goulash of Gru's accent."
What is Gru,Gru is a yellow capletshaped being who is bespectacled and gurgles in some sort of fractionally understandable language that seems fitting given the indeterminate RussianHungarian goulash of Gru s accent.
What is Gru's relationship to Brand,"Gru is Brand's Q, or Bond."
What is Brand,Brand is Gru's hardofhearing inventor who is like the Q to Gru's Bond and creates a fart gun when a dart gun is requested.
What is Gru,Gru is a hardofhearing inventor who is like the Q to Bond and creates a fart gun when a dart gun is requested.
What is Bond,Bond is the relationship between Gru and his hardofhearing inventor Brand.
What is Carell,"A character whose vocal delivery is entertaining, beneath which we can hear intimations of both an archcriminal and a petulant child."
What is Chris Meledandri,"Chris Meledandri is a producer who has worked on films such as Horton Hears a Who, Ice Age, and The Meltdown. The CGI work for these films was done by French special effects house Mac Guff Ligne."
What is Horton,"Horton is a CGI character produced by Mac Guff Ligne for the films Horton Hears a Who, Ice Age, and The Meltdown."
What is Ice,"Ice is a substance that is produced by Chris Meledandri and is used in Horton Hears a Who, Ice Age, and The Meltdown. The CGI work for Ice was done by French special effects house Mac Guff Ligne."
